id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_fwd_zone_pass,accurate_launches,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,backward_pass,ball_recovery,blocked_cross,challenge_lost,crosses_18yardplus,dispossessed,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,final_third_entries,formation_place,fouls,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,head_clearance,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,rightside_pass,successful_final_third_passes,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_long_balls,total_pass,total_sub_on,total_tackle,total_throws,touches,was_fouled,won_contest,won_tackle,yellow_card,accurate_cross,accurate_cross_nocorner,accurate_freekick_cross,accurate_layoffs,accurate_through_ball,att_assist_openplay,att_bx_centre,att_bx_right,att_cmiss_high,att_goal_high_left,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_obox_blocked,att_obox_miss,att_obx_centre,att_openplay,att_rf_target,att_rf_total,att_sv_low_centre,att_sv_low_right,big_chance_missed,blocked_scoring_att,clean_sheet,crosses_18yard,draws,fouled_final_third,foul_throw_in,freekick_cross,goals,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,interception,interceptions_in_box,interception_won,last_man_tackle,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,overrun,shot_off_target,six_yard_block,total_att_assist,total_flick_on,total_layoffs,total_offside,total_scoring_att,total_through_ball,turnover,unsuccessful_touch,wins,won_corners,accurate_flick_on,att_cmiss_right,att_miss_right,att_obox_target,big_chance_created,total_sub_off,att_assist_setplay,att_bx_left,att_setpiece,error_lead_to_shot,shield_ball_oop,att_freekick_miss,att_freekick_total,att_goal_low_centre,att_hd_target,att_hd_total,att_rf_goal,att_sv_low_left,big_chance_scored,corner_taken,goal_assist_setplay,penalty_conceded,att_hd_miss,clearance_off_line,error_lead_to_goal,red_card,saves,accurate_keeper_sweeper,att_sv_high_centre,total_keeper_sweeper,accurate_corners_intobox,accurate_pull_back,att_fastbreak,att_goal_low_right,att_hd_goal,att_lf_target,att_miss_high_left,shot_fastbreak,total_corners_intobox,total_fastbreak,total_pull_back,accurate_goal_kicks,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,stand_catch,stand_save,total_high_claim,att_cmiss_left,hit_woodwork,att_goal_low_left,att_goal_high_right,att_ibox_post,att_post_left,att_sv_high_left,post_scoring_att,att_cmiss_high_right,att_freekick_goal,att_freekick_target,att_obox_goal,att_obox_post,att_obx_left,att_pen_goal,att_obp_goal,own_goals,att_lg_centre,att_post_high,penalty_save,att_goal_high_centre,att_sv_high_right,dangerous_play,goal_assist_deadball,att_post_right,goal_fastbreak,att_cmiss_high_left,penalty_won,head_pass,open_play_pass,successful_open_play_pass,att_hd_post,att_obxd_right,att_pen_miss,second_yellow,att_rf_miss,att_pen_target,att_obx_right,attempts_obox,att_obxd_left,attempts_ibox,touches_in_opp_box,att_lg_left,att_lg_right,att_freekick_post,att_lf_miss,back_pass,att_pen_post
3547,19,568.0,86.0,1083.0,3.0,107.0,1639.0,5.0,12.0,11.0,35.0,173.0,115.0,204.0,205.0,3.0,34.0,12.0,50.0,161.0,178.0,3.0,5.0,1.0,258.0,288.0,35.0,525.0,31.0,30.0,26.0,4.0,4.0,558.0,220.0,159.0,7.0,9.0,2650.0,,266.0,208.0,94.0,3.0,462.0,446.0,9.0,79.0,117.0,616.0,527.0,617.0,151.0,21.0,91.0,53.0,35.0,676.0,1339.0,24.0,152.0,1903.0,4.0,58.0,6.0,2374.0,48.0,61.0,42.0,7.0,12.0,9.0,2.0,70.0,11.0,54.0,8.0,,1.0,,2.0,1.0,5.0,3.0,,25.0,2.0,1.0,1.0,5.0,6.0,16.0,16.0,,1.0,1.0,4.0,4.0,7.0,7.0,20.0,11.0,10.0,,3.0,1.0,1.0,3.0,2.0,2.0,,51.0,5.0,42.0,,26.0,34.0,9.0,6.0,8.0,11.0,1.0,60.0,11.0,73.0,,27.0,43.0,44.0,44.0,17.0,8.0,6.0,,4.0,5.0,11.0,15.0,3.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,18.0,1.0,,,,,1.0,,,2.0,,3.0,1.0,2.0,1.0,1.0,8.0,3.0,2.0,18.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,19,74.0,7.0,117.0,97.0,130.0,191.0,,1.0,,14.0,111.0,117.0,1.0,184.0,,1.0,,,2.0,3.0,,13.0,,337.0,38.0,,411.0,14.0,25.0,21.0,4.0,,31.0,485.0,164.0,9.0,9.0,1260.0,,58.0,46.0,15.0,3.0,346.0,342.0,,38.0,,15.0,81.0,89.0,9.0,17.0,,,,269.0,369.0,310.0,389.0,458.0,,1.0,,803.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,44.0,8.0,,8.0,,,,,,,,,,,,60.0,50.0,5.0,3.0,5.0,17.0,1.0,130.0,29.0,117.0,50.0,3.0,8.0,21.0,23.0,6.0,5.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,19,33.0,3.0,130.0,,5.0,162.0,,5.0,1.0,14.0,41.0,41.0,41.0,25.0,,10.0,3.0,14.0,44.0,17.0,,2.0,1.0,25.0,0.0,8.0,53.0,4.0,6.0,6.0,,1.0,50.0,11.0,10.0,5.0,,472.0,,26.0,25.0,12.0,,87.0,86.0,3.0,6.0,16.0,69.0,71.0,41.0,7.0,3.0,12.0,6.0,6.0,99.0,178.0,1.0,10.0,213.0,10.0,6.0,,293.0,5.0,5.0,5.0,1.0,1.0,1.0,,20.0,2.0,7.0,4.0,2.0,,,1.0,,5.0,2.0,,2.0,1.0,,2.0,1.0,3.0,4.0,10.0,2.0,10.0,1.0,,2.0,2.0,1.0,3.0,5.0,1.0,,,,,1.0,1.0,,,5.0,,4.0,,3.0,5.0,2.0,1.0,,8.0,,8.0,17.0,23.0,1.0,12.0,4.0,7.0,7.0,4.0,2.0,7.0,1.0,3.0,,2.0,3.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4165,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3798,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975,19,399.0,30.0,291.0,11.0,45.0,687.0,110.0,32.0,69.0,27.0,230.0,127.0,78.0,130.0,14.0,21.0,10.0,23.0,128.0,205.0,14.0,100.0,54.0,174.0,170.0,36.0,468.0,26.0,48.0,43.0,5.0,110.0,225.0,226.0,127.0,12.0,27.0,2361.0,22.0,101.0,149.0,20.0,3.0,434.0,331.0,2.0,90.0,38.0,147.0,122.0,473.0,69.0,203.0,50.0,17.0,17.0,224.0,462.0,68.0,103.0,918.0,1.0,81.0,141.0,1573.0,21.0,34.0,62.0,9.0,3.0,3.0,,7.0,2.0,9.0,3.0,,,,1.0,1.0,3.0,,,,2.0,,3.0,,3.0,3.0,2.0,,4.0,,,1.0,1.0,5.0,7.0,9.0,1.0,,,1.0,,1.0,1.0,1.0,,62.0,6.0,48.0,5.0,3.0,7.0,1.0,12.0,4.0,6.0,,10.0,6.0,7.0,3.0,8.0,4.0,12.0,12.0,6.0,1.0,4.0,,1.0,,1.0,,,,2.0,2.0,4.0,,,,,3.0,1.0,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3560,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,19,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3803,19,1.0,,2.0,,,3.0,,,,1.0,2.0,4.0,2.0,,,,,1.0,2.0,,,,,,0.0,1.0,,,,,,,,,,,,3.0,,,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,2.0,,,3.0,1.0,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,19,25.0,4.0,101.0,,9.0,120.0,3.0,5.0,3.0,14.0,35.0,40.0,49.0,20.0,,1.0,4.0,17.0,54.0,25.0,,,,18.0,0.0,19.0,33.0,7.0,5.0,3.0,2.0,,41.0,8.0,3.0,3.0,,669.0,,39.0,20.0,16.0,,111.0,110.0,7.0,2.0,11.0,43.0,63.0,27.0,9.0,1.0,15.0,16.0,16.0,98.0,155.0,,12.0,166.0,7.0,5.0,4.0,279.0,14.0,3.0,3.0,,6.0,6.0,,22.0,2.0,14.0,9.0,3.0,,,4.0,1.0,2.0,6.0,1.0,5.0,1.0,,3.0,,4.0,5.0,12.0,5.0,12.0,1.0,3.0,2.0,4.0,2.0,12.0,7.0,6.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,6.0,9.0,8.0,,4.0,7.0,,15.0,4.0,26.0,9.0,19.0,3.0,19.0,19.0,4.0,6.0,1.0,1.0,2.0,1.0,1.0,5.0,,1.0,2.0,,1.0,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,19,2.0,,,,,2.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,0.0,,,1.0,,,,,3.0,,,,,10.0,,,,,,2.0,2.0,,,1.0,,,2.0,1.0,,,1.0,1.0,1.0,2.0,,,3.0,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
